Јованка,Іованка,1,283,,,мати,јеврејско,посвојено/феминитив,благодарно,милост Бога
Алексија,А҆́леѯия,1,284,05.07.1804,07.07.1804,кћи,грчко,изведено/феминитив,профилактичко/слава,заштитница/бранитељка
Сара,Сарра,1,284,,,мати,јеврејско,библијско,слава,кнегиња
Стана,Стана,1,285,19.07.1804,22.07.1804,кћи,српско,изведено,оптатив/профилактичко,стајати
Агатија,А҆́гатія,1,285,,,мати,грчко,изведено,описни придев,добра/блага
Нинка,Нинка,1,286,,,мати,грузијско,деминутив/посвојено,календарско,?
Сара,Сарра,1,287,,,мати,јеврејско,библијско,слава,кнегиња
Персида,Персида,1,288,23.08.1804,25.08.1804,кћи,грчко,етноним,описни придев,персијанка
Илка,И҆́лка́,1,288,,,мати,јеврејско,посвојено/феминитив/изведено,слава,< Илија
Рава,Ра́вва,1,289,,,мати,српско,деминутив,митологија,< Равијојла
Петра,Петра,1,290,,,мати,грчко,феминитив,оптатив,стена
Александра,Алеѯандра,1,291,28.08.1804,31.08.1804,кћи,грчко,сложено/феминитив,профилактичко/слава,заштитница људи/бранитељка људи
Петра,Петра,1,291,,,мати,грчко,феминитив,оптатив,стена
Ђула,Ћꙋлла,1,292,,,мати,грчко,посвојено/деминутив,свето,< Георгије
Наста,Наста,1,293,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Стана,Станна,1,294,20.09.1804,23.09.1804,кћи,српско,изведено,оптатив/профилактичко,стајати
Наста,Наста,1,294,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Јана,Йянна,1,295,29.09.1804,30.09.1804,кћи,јеврејско,библијско/деминутив,благодарно,милост Бога
Сара,Сарра,1,295,,,мати,јеврејско,библијско,слава,кнегиња
Наста,Наста,1,296,02.10.1804,04.10.1804,кћи,грчко,посвојено/деминутив,слава,васкрсла
Манда,Манда́,1,296,,,мати,грчко,посвојено/деминутив,свето,< Магдалина
Симеуна,Симеу́на,1,297,,,мати,јеврејско,феминитив,слава,бог је чуо
Марија,Марїа,1,298,,,мати,јеврејско,библијско,благодарно,милост
Аксијана,А҆́ксиана,1,298,19.10.1804,21.10.1804,кћи,грчко,изведено/феминитив/деминутив,профилактичко/слава,заштитница/бранитељка < Акса < Алексија
Вемија,Вемія,1,299,22.10.1804,23.10.1804,кћи,грчко,изведено,оптатив,о којој се говори
Симеуна,Симеꙋна,1,299,,,мати,јеврејско,феминитив,слава,бог је чуо
Стана,Стана,1,301,,,мати,српско,изведено,оптатив/профилактичко,стајати
Јованка,Йо҆́анка,1,302,29.10.1804,31.10.1804,кћи,јеврејско,библијско,благодарно,милост Бога
Милинка,Милинка,1,302,,,мати,српско,изведено,слава,< Мила/милина
Макрена,Мекрена,1,303,02.11.1804,03.11.1804,кћи,грчко,изведено,слава,далека
Иванка,И́ванка,1,303,,,мати,јеврејско,библијско,благодарно,милост Бога
Иванка,И́ванка,1,304,,,мати,јеврејско,библијско,благодарно,милост Бога
Стоја,Стоя,1,305,,,мати,српско,изведено,оптатив,стајати/стојати
Персида,Перси́да,1,306,16.11.1804,17.11.1804,кћи,грчко,етноним,описни придев,персијанка
Латинка,Лати҆́нка,1,306,,,мати,латинско,феминитив,етноним,латинка
Пава,Па́вва́,1,307,,,мати,латинско,деминутив/феминитив/посвојено,свето,мала
Милица,Милица,1,308,,,мати,српско,изведено,слава,< мила/милост
Неранџа,Неринџа,1,309,,,мати,турско/арапско/персијско,фитоним,слава,наранџа (дрво и плод)
Јевра,Е҆вра,1,310,,,мати,јеврејско,посвојено/феминитив,свето,< Јеврем
Жуберка,Жꙋберка,1,310,09.12.1804,10.12.1804,кћи,српско,изведено,свето,жубор?
Рава,Ра́вва,1,311,,,мати,српско,деминутив,митологија,< Равијојла
Марта,Марта,1,312,,,мати,јеврејско,посвојено,слава,госпођа
Сара,Сарра,1,313,,,мати,јеврејско,библијско,слава,кнегиња
Мелентија,Мелентія,1,314,18.01.1805,22.01.1805,кћи,грчко,изведено,описни придев,црна
Филипа,Филипа,1,314,,,мати,грчко,изведено/феминитив,племићко,љубитељка коња
Наста,Наста,1,315,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Језда,Е҆́сда,1,315,23.01.1805,24.01.1805,кћи,српско,деминутив/феминитив/изведено,оптатив,која путује по свету
Наста,Наста,1,316,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Рава,Равва,1,316,,,кума,српско,деминутив,митологија,< Равијојла
Петра,Петра,1,317,,,мати,грчко,феминитив,оптатив,стена
Мелентија,Мелентіа,1,318,28.01.1805,29.01.1805,кћи,грчко,изведено,описни придев,црна
Марија,Марія,1,318,,,мати,јеврејско,библијско,благодарно,милост
Пелагија,Пелагїя,1,319,02.02.1805,08.02.1805,кћи,грчко,изведено,слава,морска
Пелагија,Пелагїя,1,319,,,мати,грчко,изведено,слава,морска
Теодора,Ѳеѡдора,1,320,03.02.1805,08.02.1805,кћи,грчко,сложено/феминитив,слава,дар Бога
Макра,Макра,1,320,,,мати,грчко,деминутив/изведено,слава,далека
Теофана,Ѳеѡфана,1,321,,,мати,грчко,сложено/феминитив,теофорно/слава,богом јављена
Наста,Наста,1,322,09.02.1805,13.02.1805,кћи,грчко,посвојено/деминутив,слава,васкрсла
Јованка,Іѡанка,1,322,,,мати,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Милинка,Милинка,1,323,,,мати,српско,изведено,слава,< Мила/милина
